,city,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,nardaran,40.5561,50.0056,29.8,58,0,11.32,AZ,1627219995
147,nagua,19.3832,-69.8474,30.25,83,40,0.0,DO,1627219809
148,ibra,22.6906,58.5334,34.92,35,71,4.16,OM,1627219996
149,ganzhou,28.8184,115.4327,26.42,80,3,1.65,CN,1627219997
150,talnakh,69.4865,88.3972,12.54,91,100,1.7,RU,1627219998
151,coahuayana,18.7333,-103.6833,26.71,87,100,0.81,MX,1627219998
152,sinnamary,5.3833,-52.95,25.65,87,100,1.46,GF,1627219999
153,porto novo,6.4965,2.6036,28.9,64,89,5.33,BJ,1627220000
154,havoysund,70.9963,24.6622,9.49,79,92,4.42,NO,1627220001
155,bjornevatn,69.6672,29.9847,12.19,54,20,5.66,NO,1627220002
156,narsaq,60.9167,-46.05,11.12,43,100,1.64,GL,1627220002
157,charlestown,-32.95,151.6667,11.03,58,0,1.34,AU,1627220003
158,trat,12.5,102.5,23.59,93,100,0.91,TH,1627220004
159,manado,1.487,124.8455,26.43,83,40,1.03,ID,1627220005
160,trapani,37.8333,12.6667,38.17,16,0,8.75,IT,1627220006
161,sao joao da barra,-21.6403,-41.0511,24.05,62,0,5.72,BR,1627220006
162,saint-philippe,-21.3585,55.7679,22.77,77,38,5.1,RE,1627220007
163,haines junction,60.7522,-137.5108,8.97,81,100,0.0,CA,1627220008
164,kathmandu,27.7167,85.3167,22.12,100,75,3.09,NP,1627219958
165,norman wells,65.282,-126.8329,9.02,71,40,2.06,CA,1627220009
166,brainerd,46.358,-94.2008,22.14,60,1,4.12,US,1627219930
167,yumen,40.2833,97.2,29.24,23,100,3.59,CN,1627220011
168,straumen,63.8709,11.2999,20.0,60,83,0.78,NO,1627220011
169,camacha,33.0833,-16.3333,23.42,69,75,4.63,PT,1627220012
170,teya,60.3778,92.6267,22.74,58,1,1.66,RU,1627220013
171,vitim,59.4511,112.5578,18.26,56,72,2.35,RU,1627220014
172,antsohihy,-14.8796,47.9875,28.88,32,44,5.72,MG,1627220014
173,kavieng,-2.5744,150.7967,27.17,78,60,2.21,PG,1627220015
174,la esperanza,14.8667,-91.5667,14.74,86,0,0.0,GT,1627220016
175,clyde river,70.4692,-68.5914,2.13,100,90,5.14,CA,1627220017
176,nador,35.174,-2.9287,35.04,23,20,7.2,MA,1627220018
177,keflavik,64.0049,-22.5624,11.4,87,75,12.35,IS,1627220018
178,faya,18.3851,42.4509,24.06,48,87,3.03,SA,1627220015
179,chokurdakh,70.6333,147.9167,1.7,80,0,4.71,RU,1627220009
180,le marin,14.4721,-60.8697,29.99,84,90,2.06,MQ,1627220020
181,tasiilaq,65.6145,-37.6368,7.09,90,65,0.54,GL,1627220021
182,udachnyy,66.4167,112.4,23.78,53,52,2.65,RU,1627220022
